SOFT - DRINKS,,,,COFFEE & TEA,,,,,
,,,,,,,,,
COCA - COLA ,,"2,50 €",,EXPRESSO,,"1,00 €",,,,
COCA - COLA ZERO,,"2,50 €",,CORTADO NATURAL,,"1,20 €",,,,
FANTA ORANGE,,"2,50 €",,LECHE Y LECHE,,"1,50 €",,,,
FANTA LEMON,,"2,50 €",,AMERICANO ,,"1,80 €",,,,
SPRITE,,"2,50 €",,WHITE COFFEE,,"2,50 €",,,,
TONIC (NORMAL),,"2,50 €",,CAPUCHINO,,"2,75 €",,,,
TONIC (ZERO),,"2,50 €",,BARRAQUITO,,"2,95 €",,,,
TONIC (RED),,"2,50 €",,IRISH COFFEE,,"4,00 €",,,,
ICE TE MANGO - PINEAPPLE,,"2,50 €",,CARAJILLO,,"2,50 €",,,,
ICE TE LEMON,,"2,50 €",,CALYPSO,,"3,20 €",,,,
APPLETIER,,"3,00 €",,BAILEYS COFFEE,,"3,50 €",,,,
MANGO LASSI,,"5,95 €",,TE (INFUSIONS),,"2,00 €",,,,
SALTED LASSI,,"5,95 €",,INDIAN TEA,,"3,50 €",,,,
SMALL WATER,,"1,95 €",,,,,,,
SPARKLING WATER,,"2,00 €",,,,,,,
ORANGE JUICE,,"2,50 €",,,,,,,
APPLE JUICE,,"2,50 €",,,,,,,
PINE APPLE JUICE,,"2,50 €",,,,,,,


BEER,,,,,,,,,,
,,,,,,,,,,
DORADA LARGE,,"2,80 €",,,,,,,
DORADA SMALL,,"1,95 €",,,,,,,
STELLA ARTOIS LARGE,,"2,80 €",,,,,,,
STELLA ARTOIS SMALL,,"1,95 €",,,,,,,
SHANDY LARGE,,"3,00 €",,,,,,,
SHANDY SMALL,,"2,95 €",,,,,,,
DORADA SPECIAL BOT.,,"2,80 €",,,,,,,
DORADA SIN BOT.,,"2,50 €",,,,,,,
DORADA LIMON SIN BOT.,,"2,00 €",,,,,,,
CORONA,,"3,00 €",,,,,,,
KOPPERBERG STRAWBERRY ,,"4,50 €",,,,,,,
LEFFE BLOND,,"4,00 €",,,,,,,
COBRA (INDIAN),,"4,50 €",,,,,,,
KING FISHER ( INDIAN),,"4,50 €",,,,,,,
GORKHA (NEPALI),,"5,95 €",,,,,,,


DORADA SMALL,,"1,95 €",,,,,,,,
STELLA ARTOIS LARGE,,"2,80 €",,,,,,,,
STELLA ARTOIS SMALL,,"1,95 €",,,,,,,,
SHANDY LARGE,,"3,00 €",,,,,,,,
SHANDY SMALL,,"2,95 €",,,,,,,,
DORADA SPECIAL BOT.,,"2,80 €",,,,,,,,
DORADA SIN BOT.,,"2,50 €",,,,,,,,
DORADA LIMON SIN BOT.,,"2,00 €",,,,,,,,
CORONA,,"3,00 €",,,,,,,,
KOPPERBERG STRAWBERRY ,,"4,50 €",,,,,,,,
LEFFE BLOND,,"4,00 €",,,,,,,,
COBRA (INDIAN),,"4,50 €",,,,,,,,
KING FISHER ( INDIAN),,"4,50 €",,,,,,,,
GORKHA (NEPALI),,"5,95 €",,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
APERITIFE,,,,BRANDY,,,,WHISKEY,,
,,,,,,,,FAMOUSE GROUSE,,"3,50 €"
APEROL,,"4,50 €",,108,,"4,50 €",,J & B,,"4,50 €"
CAMPARI,,"4,50 €",,CARLOS I,,"6,95 €",,RED LABEL,,"4,50 €"
MARTINI ,,"4,50 €",,VETERANO,,"4,50 €",,BLACK LABEL,,"7,25 €"
(Bianco / Rosso / Dry),,,,COURVOISIER,,"7,50 €",,CHARDU 12 YEARS,,"6,25 €"
,,,,,,,,JACK DANIEL,,"5,20 €"
,,,,,,,,,,
LICOR,,,,,,,,VODKA,,
BAILEYS,"4,95 €",,,RUM,,,,,,
AMARETTO,"4,95 €",,,KHUKURI XXX,,"7,90 €",,8848 (NEPAL),,"7,20 €"
COINTREAU,"4,95 €",,,KHUKURI SPICED ,,"8,90 €",,ABSOLUTO,,"4,50 €"
JÄGERMEISTER,"4,20 €",,,KHUKURI CORONATION,,"17,95 €",,BELVEDRE,,"7,20 €"
SAMBUCA,"3,95 €",,,AREHUCHAS ,,"3,90 €",,GREY GOOSE,,"4,95 €"
TIA MARIA,"3,50 €",,,HAVANA,,"5,95 €",,SMIRN-OFF,,"3,90 €"
TEQUILA,"3,50 €",,,MALIBU,,"3,50 €",,,,
RON MIEL,"3,00 €",,,BACARDI,,"4,50 €",,,,
LICOR 45,"3,00 €",,,CAPTAIN MORGAN ,,"4,95 €",,,,
,,,,(DARK RUM),,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
GIN,,,,,,,,,,
,,,,,,,,,,
GORDON´S,,"4,20 €",,,,,,,,
GORDON´S PINK,,"4,50 €",,,,,,,,
TANQUARI,,"4,95 €",,,,,,,,
BOMABY,,"4,95 €",,,,,,,,
HANDRICK´S,,"4,95 €",,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
COCKTAIL,,,,,COCKTAIL NON ALCOHOL,,,,,
,,,,,VIRGIN MOJITO ,,,"6,00 €",,
APEROL SPRITZ,,,"8,95 €",,limon soda - lime - sugar syrup -mint,,,,,
Proseco - aperol - soda,,,,,"(strawberry, coconut, mango, passion fruit.)",,,,,
BLUE HAWAI,,,"8,95 €",,VIRGIN COLADA,,,"6,00 €",,
White rum - blue curacao -liquid sugar,,,,,pineapple juice - coconut,,,,,
lime juice - pineapple - coconut juice.,,,,,VIRGIN HAWAII,,,"6,00 €",,
AMARETTO SOUR,,,"8,95 €",,Curacao - lime - pineapple - coconut,,,,,
