APPATIZER,,,,,
Papadum,,"0,90 €",,,
Thin Indian crispy flatbread,,,,,
,,,,,
Spicy Papadum,,"1,00€",,,
Thin Indian crispy spicy flatbread.,,,,,
,,,,,
PICKLE TRAY,,"3,50€",,,
"Mango chutney, Mint sauce & Chopped Onions",,,,,
,,,,,
Tamarind Sauce,,"0,90€",,,
Bittersweet sauce from the fruit of tamarind.,,,,,
,,,,,
Spicy Garlic Sacue,,"0,90€",,,
Sacue made with fresh garlic & spicy mayonnaise.,,,,,
,,,,,
Mango Chutney,,"0,90",,,
Mango flavour sweert sauce.,,,,,
,,,,,
Mint Sauce,,"0,90€",,,
Sacue mande with fresh mint & yogur.,,,,,
,,,,,
Spicy Onions,,"0,90€",,,
Chopped onions with cucumber & capsicum.,,,,,
,,,,,
Mixed Salad,,"5,50€",,,
,,,,,
Plain Yoghurt,,"2,90€",,,
,,,,,
STARTER,,,,,
Onion Bhaji,,"4,25€",,,
Onions balls bound together with ,,,,,
lightly spiced & fragrant chickpea flour batter.,,,,,
Vegetable Samosa,,"4,50€",,,
Triangular pastry filled with potatoes ,,,,,
"& peas, golden fried.",,,,,
Garlic Mushroom,,"4,50€",,,
Juicy mushroom sauteed in a rich garlic ,,,,,
butter sauce with a hint of spice.,,,,,
Meat Samosa,,"4,75€",,,
"Triangular pastry filled with potatoes,",,,,,
"peas & meat,golden fried.",,,,,
Vegetable Pakora,,"4,50€",,,
Sliced vegetables wrapped in batter & deep fried.,,,,,
Chicken Pakora,,"4,25€",,,
"Marinated chicken pieces in a batter, golden fried.",,,,,
Chicken Puri,,"5,50€",,,
Chicken cooked & served on deep fried round bread.,,,,,
King Prawn Puri,,"5,95€",,,
King prawn cooked with ginger - garlic ,,,,,
& served on deep fried round bread.,,,,,
Garlic Chicken,,"5,95€",,,
Chicken cooked with garlic & limon.,,,,,
Chicken Lollipop,,"5,50€",,,
"Crispy, deep-fried chicken drumettes ",,,,,
coated in a bold & zesty spicy mix.,,,,,
Hot Chicken Wings,,"5,50€",,,
"Spicy, juicy wings coated in a ",,,,,
fiery marinade that packs a punch.,,,,,
Chicken Tikka,,"4,50€",,,
Boneless chicken pieces ,,,,,
marinated spicy yogurt cooked in a tandoor.,,,,,
Tandoor Chicken,,"5,50€",,,
Chicken leg piece marinated in a spicy ,,,,,
yogurt cooked in tandoor.,,,,,
Pudina Tikka,,"5,50€",,,
Boneless chicken pieces marinated with ,,,,,
"mint,ginger & cooked in tandoor.",,,,,
Lamb Tikka,,"6,50€",,,
Boneless lamb pieces marinated in a ,,,,,
spicy yogurt & grilled in tandoor.,,,,,
Barra Kebab,,"5,50€",,,
Succulent lamb chop marinated in a yogurt ,,,,,
"& spices,flame-grilled for a smoky bite.",,,,,
Sheek Kebab,,"5,50€",,,
"Minced lamb marinated with spiced,ginger,",,,,,
coriander & cooked on skewers in a tandoor.,,,,,
Garlic King Prawn,,"5,90€",,,
Grilled king prawn cooked with garlic & limon.,,,,,
Special Himalayan,,"15,59",,,
"Inclueds : Onion Bhaji, veg pakora, ",,,,,
"barra kebab, chicken tikka, pudina tikka, ",,,,,
chicken pakora & sheekh kebab,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
CURRIES,,Dish from the cuisine of the Indian subcontinent which combines the use of a varieties,,,
